"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"175406";"-0,712148";"44,865983";"44°51'57.539N 0°42'43.733W";"33449";"Avenue de Capeyron";"";"33160";"SAINT MEDARD EN JALLES";"31/05/2022";"En extérieur";"RPUB_148625.pdf";"Oui";"1,04";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175412";"-0,66036";"44,778926";"44°46'44.134N 0°39'37.296W";"33318";"Avenue Jean Perrin";"";"33600";"PESSAC";"01/06/2022";"En extérieur";"RPUB_148626.pdf";"Oui";"0,77";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175413";"-0,611351";"44,839226";"44°50'21.214N 0°36'40.864W";"33063";"Avenue de la République";"";"33200";"BORDEAUX";"02/06/2022";"En extérieur";"RPUB_148639.pdf";"Oui";"0,74";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175416";"-0,629114";"44,832877";"44°49'58.357N 0°37'44.810W";"33281";"Rue Paul Doumer";"";"33700";"MERIGNAC";"01/06/2022";"En extérieur";"RPUB_148641.pdf";"Oui";"1,01";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175417";"-0,43058";"44,739951";"44°44'23.824N 0°25'50.088W";"33033";"Lide";"";"33880";"BAURECH";"31/05/2022";"En extérieur";"RPUB_148651.pdf";"Oui";"0,92";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175423";"-0,572469";"44,82628";"44°49'34.608N 0°34'20.888W";"33063";"Cours de la Somme";"";"33000";"BORDEAUX";"02/06/2022";"En extérieur";"RPUB_148621.pdf";"Oui";"1,28";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175426";"-0,420914";"44,825172";"44°49'30.619N 0°25'15.290W";"33061";"Chemin de Tournon";"";"33370";"BONNETAN";"31/05/2022";"En extérieur";"RPUB_148642.pdf";"Oui";"0,73";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175427";"-0,477755";"44,798259";"44°47'53.732N 0°28'39.918W";"33099";"Allée de Coeuilles";"";"33360";"CARIGNAN DE BORDEAUX";"01/06/2022";"En extérieur";"RPUB_148649.pdf";"Oui";"0,68";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175431";"0,445054";"44,35135";"44°21'4.860N 0°26'42.194E";"47127";"Route de Saint-Sardos";"";"47320";"LAFITTE SUR LOT";"08/06/2022";"En intérieur";"RPUB_148669.pdf";"Oui";"0,14";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175435";"-0,591384";"44,813894";"44°48'50.018N 0°35'28.982W";"33522";"Rue Pierre Renaudel";"";"33400";"TALENCE";"09/06/2022";"En intérieur";"RPUB_148673.pdf";"Oui";"0,37";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175446";"-0,602564";"44,828741";"44°49'43.468N 0°36'9.230W";"33063";"Rue de Canolle";"";"33000";"BORDEAUX";"02/06/2022";"En extérieur";"RPUB_148650.pdf";"Oui";"1,08";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175449";"-0,763078";"44,807615";"44°48'27.414N 0°45'47.081W";"33422";"Tretind d'Illaguet";"";"33127";"SAINT JEAN D ILLAC";"01/06/2022";"En extérieur";"RPUB_148646.pdf";"Oui";"0,74";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175450";"-0,502388";"44,758543";"44°45'30.755N 0°30'8.597W";"33349";"Chemin de Joset et Anicet";"";"33360";"QUINSAC";"31/05/2022";"En extérieur";"RPUB_148645.pdf";"Oui";"0,69";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175451";"-0,572469";"44,815264";"44°48'54.950N 0°34'20.888W";"33063";"Cours de la Somme";"";"33800";"BORDEAUX";"02/06/2022";"En extérieur";"RPUB_148622.pdf";"Oui";"0,77";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175452";"-0,553704";"44,762432";"44°45'44.755N 0°33'13.334W";"33550";"Rue Mousson";"";"33140";"VILLENAVE D ORNON";"01/06/2022";"En extérieur";"RPUB_148647.pdf";"Oui";"0,8";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"175456";"-0,586953";"44,836814";"44°50'12.530N 0°35'13.031W";"33063";"Rue Corps Franc Pommies";"";"33000";"BORDEAUX";"02/06/2022";"En extérieur";"RPUB_148643.pdf";"Oui";"0,78";"Rue / Route / Parking";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
