"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"936";"7,876111";"48,786111";"48°47'10.000N 7°52'34.000E";"67345";"Rue des Châtaigniers";"Au croisement de la rue des Châtaigniers et de la rue de Schirrhein.";"67240";"OBERHOFFEN SUR MODER";"28/10/2002";"En extérieur";"FicheMesure936.pdf";"Oui";"0,38";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"0,2";"";"";"";"";"";"";"";"";""
"937";"7,873889";"48,783333";"48°46'59.999N 7°52'26.000E";"67345";"Rue Schmalzacker";"Devant le domicile de Mme Kieffer.";"67240";"OBERHOFFEN SUR MODER";"28/10/2002";"En extérieur";"FicheMesure937.pdf";"Oui";"0,47";"Rue / Route / Parking";"APAVE";"";"";"0,41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,41";"";"12,766"
"938";"7,873889";"48,783333";"48°46'59.999N 7°52'26.000E";"67345";"Rue Schmalzacker";"Devant le domicile de Mme Kieffer. (idem que point D)";"67240";"OBERHOFFEN SUR MODER";"28/10/2002";"En extérieur";"FicheMesure938.pdf";"Oui";"0,44";"Rue / Route / Parking";"APAVE";"";"";"0,41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,41";"";"6,818"
"939";"7,873333";"48,777778";"48°46'40.001N 7°52'23.999E";"67345";"Rue Pasteur";"Ecole maternelle.";"67240";"OBERHOFFEN SUR MODER";"28/10/2002";"En extérieur";"FicheMesure939.pdf";"Oui";"0,29";"Rue / Route / Parking";"APAVE";"";"";"0,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"48,276"
"940";"7,873333";"48,777778";"48°46'40.001N 7°52'23.999E";"67345";"Rue Pasteur";"Ecole maternelle.(idem que point F)";"67240";"OBERHOFFEN SUR MODER";"28/10/2002";"En extérieur";"FicheMesure940.pdf";"Oui";"0,26";"Rue / Route / Parking";"APAVE";"";"";"0,15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"42,308"
"945";"7,740278";"48,605556";"48°36'20.002N 7°44'25.001E";"67447";"Rue St Charles";"Chez M. MARTZ.";"67300";"SCHILTIGHEIM";"29/10/2002";"En intérieur";"FicheMesure945.pdf";"Oui";"0,34";"Lieu d'habitation";"APAVE";"";"0,17";"0,1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,197231";"";"41,991"
"951";"7,763611";"48,630833";"48°37'50.999N 7°45'49.000E";"67204";"Route de la Wantzenau";"supermarché SUPER U";"67800";"HOENHEIM";"06/11/2002";"En extérieur";"FicheMesure951.pdf";"Oui";"0,37";"Rue / Route / Parking";"APAVE";"";"";"0,14";"";"";"";"";"";"";"";"";"";"";"";"0,45";"";"0,74";"";"";"";"";"";"";"0,14";"";"62,162"
"952";"7,760833";"48,628611";"48°37'43.000N 7°45'38.999E";"67204";"Route de la Wantzenau";"parking adjacent à la propriété de Monsieur ULRICH";"67800";"HOENHEIM";"06/11/2002";"En extérieur";"FicheMesure952.pdf";"Oui";"0,16";"Rue / Route / Parking";"APAVE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,47";"";"0,42";"";"";"";"";"";"";"";"";""
"1028";"7,745";"48,591389";"48°35'29.000N 7°44'42.000E";"67482";"Avenue des Vosges";"Appartement de monsieur et madame VIGIE du CAYLA (2ème étage)";"67000";"STRASBOURG";"27/09/2002";"En intérieur";"FicheMesure1028.pdf";"Oui";"0,4";"Lieu d'habitation";"BUREAU VERITAS";"";"";"0,09";"";"";"";"";"";"";"";"";"";"";"";"0,58";"";"0,27";"";"";"";"";"";"";"0,09";"";"77,5"
"1046";"6,249722";"48,69";"48°41'24.000N 6°14'58.999E";"54495";"Allée des Roses";"Ecole Chepfer.";"54420";"SAULXURES LES NANCY";"14/01/2003";"En extérieur";"FicheMesure1046.pdf";"Oui";"0,34";"Rue / Route / Parking";"APAVE";"";"";"0,31";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,11";"";"";"";"";"";"";"0,31";"";"8,824"
"1047";"6,249722";"48,690833";"48°41'26.999N 6°14'58.999E";"54495";"Allée des Roses";"Domicile de Madame et Monsieur HEIM.";"54420";"SAULXURES LES NANCY";"14/01/2003";"En intérieur";"FicheMesure1047.pdf";"Oui";"0,45";"Lieu d'habitation";"APAVE";"";"0,17";"0,24";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,44";"";"";"";"";"";"";"0,294109";"";"34,642"
"1048";"6,249722";"48,690556";"48°41'26.002N 6°14'58.999E";"54495";"Allée des Roses";"Domicile de Madame et Monsieur BARBIER.";"54420";"SAULXURES LES NANCY";"14/01/2003";"En intérieur";"FicheMesure1048.pdf";"Oui";"0,2";"Lieu d'habitation";"APAVE";"";"0,17";"0,17";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,15";"";"";"";"";"";"";"0,240416";"";"-20,208"
"1049";"6,249444";"48,691111";"48°41'28.000N 6°14'57.998E";"54495";"Allée des Roses";"Au pied du château d'eau.";"54420";"SAULXURES LES NANCY";"14/01/2003";"En extérieur";"FicheMesure1049.pdf";"Oui";"0,23";"Rue / Route / Parking";"APAVE";"";"0,09";"0,36";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,37108";"";"-61,339"
"1093";"7,745";"48,591389";"48°35'29.000N 7°44'42.000E";"67482";"Avenue des Vosges";"Appartement de monsieur et madame D. DREYFUS (7ème étage)";"67000";"STRASBOURG";"27/09/2002";"En extérieur";"FicheMesure1093.pdf";"Oui";"5,8";"Divers";"BUREAU VERITAS";"";"0,1";"";"";"";"";"";"";"";"";"";"";"";"";"4,15";"";"7,82";"";"";"";"";"";"";"0,1";"";"98,276"
"1257";"7,436111";"48,324167";"48°19'27.001N 7°26'10.000E";"67084";"Rue du Collège";"Réfectoire des élèves, 1er étage, côté cour (direction sud)";"67650";"DAMBACH LA VILLE";"23/10/2002";"En extérieur";"FicheMesure1257.pdf";"Oui";"1,5";"Divers";"BUREAU VERITAS";"";"";"0,15";"";"";"";"";"";"";"";"";"";"";"";"0,82";"";"";"";"";"";"";"";"";"0,15";"";"90"
"1258";"7,436111";"48,324167";"48°19'27.001N 7°26'10.000E";"67084";"Rue du Collège";"Dans la cour de récréation scolaire (partie haute), près des bancs, sous les platanes";"67650";"DAMBACH LA VILLE";"23/10/2002";"En extérieur";"FicheMesure1258.pdf";"Oui";"1,8";"Rue / Route / Parking";"BUREAU VERITAS";"";"";"0,55";"";"";"";"";"";"";"";"";"";"";"";"0,74";"";"0,1";"";"";"";"";"";"";"0,55";"";"69,444"
"1260";"7,6575";"48,421944";"48°25'18.998N 7°39'27.000E";"67130";"Rue de Wissembourg";"Collège . retrait Nord de la cour du bâtiment A (retrait le plus éloigné de la rue d'Obernai), face au château d'eau.";"67150";"ERSTEIN";"25/06/2002";"En extérieur";"FicheMesure1260.pdf";"Oui";"0,4";"Rue / Route / Parking";"BUREAU VERITAS";"";"";"0,12";"";"";"";"";"";"";"";"";"";"";"";"0,19";"";"0,14";"";"";"";"";"";"";"0,12";"";"70"
"1261";"7,656667";"48,421667";"48°25'18.001N 7°39'24.001E";"67130";"Rue d'Obernai";"Maternelle du Château . cour avant . coin du mur côté est.";"67150";"ERSTEIN";"25/06/2002";"En extérieur";"FicheMesure1261.pdf";"Oui";"0,3";"Rue / Route / Parking";"BUREAU VERITAS";"";"";"0,16";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,25";"";"";"";"";"";"";"0,16";"";"46,667"
"1262";"7,654167";"48,420833";"48°25'14.999N 7°39'15.001E";"67130";"Rue de la Gare";"Le point de mesure est situé face au n°18 rue de la gare.";"67150";"ERSTEIN";"25/06/2002";"En extérieur";"FicheMesure1262.pdf";"Oui";"0,3";"Rue / Route / Parking";"BUREAU VERITAS";"";"";"0,21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,21";"";"30"
"1263";"7,651111";"48,518333";"48°31'5.999N 7°39'4.000E";"67152";"Rue du Collège";"Collège Jean de la Fontaine.";"67118";"GEISPOLSHEIM";"18/09/2002";"En intérieur";"FicheMesure1263.pdf";"Oui";"0,55";"Lieu d'habitation";"BUREAU VERITAS";"";"0,1";"";"0,07";"";"";"";"0,11";"";"";"";"";"";"";"0,7";"";"0,33";"";"";"";"";"";"";"0,164317";"";"70,124"
"1264";"7,634444";"48,518611";"48°31'7.000N 7°38'3.998E";"67152";"Rue du Collège";"Collège Jean de la Fontaine";"67118";"GEISPOLSHEIM";"18/09/2002";"En intérieur";"FicheMesure1264.pdf";"Oui";"0,55";"Lieu d'habitation";"BUREAU VERITAS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,16";"";"0,07";"";"";"";"";"";"";"";"";""
"1271";"6,256389";"48,699722";"48°41'58.999N 6°15'23.000E";"54439";"Rue du Chemin de Tir";"Groupe Scolaire 1 - 1er étage - couloir façade nord";"54425";"PULNOY";"24/06/2002";"En intérieur";"FicheMesure1271.pdf";"Oui";"0,5";"Lieu d'habitation";"BUREAU VERITAS";"";"0,22";"0,34";"";"";"";"";"0,13";"";"";"";"";"";"";"";"";"0,19";"";"";"";"";"";"";"0,425323";"";"14,935"
