"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%";"CV_services_CasB"
"156539";"4,704123";"49,775174";"49°46'30.626N 4°42'14.843E";"08105";"Rue Pierre de Coubertin";"";"08000";"CHARLEVILLE MEZIERES";"20/02/2020";"En intérieur";"R_SO8944_3_1PUB.pdf";"Oui";"0,19";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156544";"3,955572";"50,277164";"50°16'37.790N 3°57'20.059E";"59392";"Rue de la Liberté";"";"59600";"MAUBEUGE";"20/02/2020";"En extérieur";"R_SO8925_7_2PUB.pdf";"Oui";"0,88";"Lieu d'habitation";"EXEM";"";"0,77";"";"";"";"";"";"";"";"";"";"";"";"0,1";"";"0,07";"";"0,1";"";"";"";"";"";"0,786003";"0,157797";"10,682";"1,133474"
"156550";"3,235195";"50,393007";"50°23'34.825N 3°14'6.702E";"59629";"Rue Edmond Simon";"";"59870";"VRED";"19/02/2020";"En intérieur";"R_SO8812_4_2PUB.pdf";"Oui";"0,04";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156556";"3,145888";"50,662398";"50°39'44.633N 3°8'45.197E";"59009";"Rue du Marechal de Lattre de Tassigny";"";"59650";"VILLENEUVE D ASCQ";"19/02/2020";"En intérieur";"R_SO8939_1_1PUB.pdf";"Oui";"0,01";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"156558";"2,96382";"50,643297";"50°38'35.869N 2°57'49.752E";"59128";"Rue des 3 Chènes";"";"59160";"CAPINGHEM";"19/02/2020";"En intérieur";"R_SO8925_7_1PUB.pdf";"Oui";"0,76";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"0,31";"";"0,47";"";"0,22";"";"0,22";"";"0,2";"";"0,08";"";"";"";"0,67838";"0,67838";"10,739";"0,476655"
"156796";"2,183983";"50,791654";"50°47'29.954N 2°11'2.339E";"62595";"Route de Serques";"";"62910";"MOULLE";"13/03/2020";"En intérieur";"R_SO8887_1_1PUB.pdf";"Oui";"1,1";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"0,24";"";"0,52";"";"0,53";"";"0,37";"";"0,18";"";"0,21";"";"";"";"0,906808";"0,906808";"17,563";"0,417152"
"156984";"3,060661";"50,631856";"50°37'54.682N 3°3'38.380E";"59350";"République Beaux Arts";"";"59000";"LILLE";"26/02/2020";"En intérieur";"R_SO9024_1_10PUB.pdf";"Oui";"4,41";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"0,06";"";"";"0,91";"";"0,57";"";"1,5";"";"0,76";"";"3,12";"";"1,88";"";"";"";"4,153673";"4,15324";"5,812";"0,748026"
"156985";"3,05141";"50,623317";"50°37'23.941N 3°3'5.076E";"59350";"Wazemmes";"";"59000";"LILLE";"26/02/2020";"En intérieur";"R_SO9024_1_12PUB.pdf";"Oui";"2,03";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"0,39";"";"0,41";"";"1,24";"";"0,55";"";"0,83";"";"";"";"";"";"1,687957";"1,687957";"16,849";"0,466885"
"156986";"3,070829";"50,637064";"50°38'13.430N 3°4'14.984E";"59350";"Gare Lille Flandres";"";"59000";"LILLE";"26/02/2020";"En intérieur";"R_SO9024_1_8PUB.pdf";"Oui";"2,8";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"0,99";"";"0,38";"";"0,84";"";"0,96";"";"2,32";"";"0,7";"";"";"";"2,936682";"2,936682";"-4,881";"0,592002"
"156987";"3,097544";"50,630293";"50°37'49.055N 3°5'51.158E";"59350";"Marbrerie";"";"59800";"LILLE";"25/02/2020";"En intérieur";"R_SO9024_1_5PUB.pdf";"Oui";"3,12";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"0,1";"";"";"";"";"";"";"0,38";"";"0,52";"";"0,94";"";"0,69";"";"2,2";"";"";"";"";"";"2,57381";"2,571867";"17,506";"0,838908"
