"Numéro de mesure";"Longitude";"Latitude";"Position";"Insee";"Adresse";"Complément";"Code postal";"Commune";"Date de mesure";"Mesure réalisée";"Rapport";"Conformité de la mesure";"Niveau global";"Type d'environnement";"laboratoire";"DECT (Téléphone domestique)";"Radiodiffusion sonore (FM – RNT)";"Services HF";"PMR (Réseaux radio mobile professionnels)";"PMR - balises";"Radars - balises - FH";"Radar - BLR (Wimax)- FH";"TV";"Réseaux locaux radioélectriques ou Wifi";"TM 700 (Téléphonie Mobile en 700 MHz)_mesuré";"TM 700 (Téléphonie Mobile en 700 MHz)_extrapolé";"TM 800_mesuré";"TM 800_extrapolé";"TM 900_mesuré";"TM 900_extrapolé";"TM 1800_mesuré";"TM 1800_extrapolé";"TM 2100_mesuré";"TM 2100_extrapolé";"TM 2600_mesuré";"TM 2600_extrapolé";"TM 3600_mesuré";"TM 3600_extrapolé";"Cumul_CasB";"Cumul_CasB_TM";"Ratio_Ecart_CasA_CasB_%"
"136185";"7,015843";"43,576614";"43°34'35.810N 7°0'57.035E";"06030";"Rue Victor Hugo";"";"06110";"CANNET";"23/05/2018";"En intérieur";"R_SO6248_1_1PUB.pdf";"Oui";"5,27";"Lieu d'habitation";"EXEM";"";"0,3";"";"";"";"";"";"0,15";"0,1";"0,5";"";"2,02";"";"2,57";"";"1,41";"";"1,88";"";"1,18";"";"";"";"4,239";"4,225";"19,556"
"136280";"6,48968";"43,524709";"43°31'28.952N 6°29'22.848E";"83050";"Avenue Jean Monnet";"";"83300";"DRAGUIGNAN";"12/06/2018";"En intérieur";"R_SO6368_1_1PUB.pdf";"Oui";"0,34";"Lieu d'habitation";"EXEM";"";"";"0,05";"";"";"";"";"";"0,21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0,216";"";"36,509"
"136282";"5,57112";"43,25744";"43°15'26.784N 5°34'16.032E";"13119";"Allée du Mont Ventoux";"";"13470";"CARNOUX EN PROVENCE";"01/06/2018";"En extérieur";"R_SO6329_1_1PUB.pdf";"Oui";"0,61";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136316";"3,818865";"43,578813";"43°34'43.727N 3°49'7.914E";"34270";"Rue des Bleuets";"";"34430";"SAINT JEAN DE VEDAS";"31/05/2018";"En intérieur";"R_SO6318_1_2PUB.pdf";"Oui";"0,76";"Lieu d'habitation";"EXEM";"";"0,11";"";"";"";"";"";"0,06";"";"";"";"0,28";"";"0,36";"";"0,28";"";"0,25";"";"0,2";"";"";"";"0,636";"0,624";"16,305"
"136322";"4,968889";"43,924195";"43°55'27.102N 4°58'8.000E";"84132";"Route d'Avignon";"";"84250";"THOR";"11/06/2018";"En extérieur";"R_SO6336_1_1PUB.pdf";"Oui";"0,6";"Etablissement ouvert au public (Ecole, Et Soins, Gare…)";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136329";"7,101781";"43,720994";"43°43'15.578N 7°6'6.412E";"06157";"Boulevard Jean Maurel";"";"06140";"VENCE";"13/06/2018";"En intérieur";"R_SO6205_1_2PUB.pdf";"Oui";"0,14";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"136346";"6,963637";"43,56619";"43°33'58.284N 6°57'49.093E";"06029";"Avenue Michel Jourdan";"";"06150";"CANNES";"13/06/2018";"En extérieur";"R_SO6340_1_1PUB.pdf";"Oui";"0,26";"Lieu d'habitation";"EXEM";"";"";"0,06";"";"";"";"";"";"";"";"";"0,11";"";"0,11";"";"0,07";"";"0,13";"";"0,17";"";"";"";"0,28";"0,274";"-7,761"
"136390";"7,17551";"43,694307";"43°41'39.505N 7°10'31.836E";"06123";"Chemin Fahnestock";"";"06700";"SAINT LAURENT DU VAR";"14/06/2018";"En extérieur";"R_SO6426_1_1PUB.pdf";"Oui";"1,71";"Locaux professionnels non accessibles au public";"EXEM";"";"0,39";"";"";"1,31";"";"";"0,07";"";"";"";"0,05";"";"0,07";"";"0,09";"";"0,06";"";"0,06";"";"";"";"1,377";"0,151";"19,481"
"136394";"3,825495";"43,605637";"43°36'20.293N 3°49'31.782E";"34172";"Rue de Grèzes";"";"34070";"MONTPELLIER";"27/06/2018";"En extérieur";"R_SO6412_1_1PUB.pdf";"Oui";"2,64";"Lieu d'habitation";"EXEM";"";"2,14";"";"";"0,22";"";"";"";"";"";"";"0,23";"";"0,22";"";"0,38";"";"0,51";"";"0,28";"";"";"";"2,283";"0,764";"13,522"
"136397";"3,053319";"43,327753";"43°19'39.911N 3°3'11.948E";"34052";"Rue des Cigales";"";"34310";"CAPESTANG";"27/06/2018";"En intérieur";"R_SO6344_1_1PUB.pdf";"Oui";"2,92";"Lieu d'habitation";"EXEM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
